Case_ID,Work_Order_ID,Account_ID,Site_Name,Case_Type,Priority,Status,Engineer_Assigned,Open_Date,Close_Date,Resolution_Time_Hours,SLA_Status,Curtailed_kWh,Revenue_Leakage_EUR,Resolution_Code,County
CASE-00029,WO-00029,ACC-006,South Dublin Wind Site,Sensor Dropout,High,Open,Ciarán Murphy,2025-03-26 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00030,WO-00030,ACC-014,Wicklow Solar Park,Turbine Fault,Low,Closed,Niamh Walsh,2024-04-12 00:00:00,2024-04-19 02:27:23,170.46,Breached,617.07,52.45,Meter Recalibrated,Wicklow
CASE-00031,WO-00031,ACC-011,Fingal Wind Farm,Maintenance Request,High,Closed,Seán O'Brien,2025-06-22 00:00:00,2025-06-22 15:32:43,15.55,Breached,0.0,0.0,Inverter Repaired,Kildare
CASE-00032,WO-00032,ACC-009,Fingal Wind Farm,Meter Reading Issue,High,Escalated,Sinéad Byrne,2025-04-12 00:00:00,,,Breached,303.13,25.77,,Kildare
CASE-00033,WO-00033,ACC-005,Meath Wind Farm,Safety Inspection,High,Closed,Ciarán Murphy,2024-01-16 00:00:00,2024-01-16 05:06:21,5.11,Within SLA,0.0,0.0,Meter Recalibrated,South
CASE-00034,WO-00034,ACC-007,South Dublin Wind Site,Turbine Fault,Medium,In Progress,Ciarán Murphy,2024-05-27 00:00:00,,,Breached,395.44,33.61,,Meath
CASE-00035,WO-00035,ACC-011,Wicklow Solar Park,Meter Reading Issue,High,Closed,Niamh Walsh,2025-02-23 00:00:00,2025-02-23 10:28:56,10.48,Breached,0.0,0.0,Scheduled Maintenance Done,South
CASE-00036,WO-00036,ACC-004,Wicklow Solar Park,Meter Reading Issue,High,Open,Ciarán Murphy,2024-06-07 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00037,WO-00037,ACC-003,Kildare Solar Park,Sensor Dropout,Low,Open,Declan Ryan,2024-03-17 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00038,WO-00038,ACC-013,Fingal Wind Farm,Grid Curtailment Complaint,Low,Open,Seán O'Brien,2025-04-25 00:00:00,,,Breached,528.13,44.89,,Kildare
CASE-00039,WO-00039,ACC-004,Kildare Solar Park,Safety Inspection,High,Closed,Aoife Kelly,2024-09-28 00:00:00,2024-09-28 08:14:17,8.24,Breached,0.0,0.0,Grid Reconnected,Wicklow
CASE-00040,WO-00040,ACC-012,Fingal Wind Farm,Maintenance Request,High,Open,Ciarán Murphy,2024-12-12 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00041,WO-00041,ACC-012,Meath Wind Farm,Inverter Failure,Medium,Closed,Sinéad Byrne,2025-02-11 00:00:00,2025-02-11 11:49:15,11.82,Within SLA,0.0,0.0,Meter Recalibrated,Fingal
CASE-00042,WO-00042,ACC-020,Fingal Wind Farm,Turbine Fault,Medium,In Progress,Aoife Kelly,2024-03-23 00:00:00,,,Breached,72.43,6.16,,Wicklow
CASE-00043,WO-00043,ACC-009,Kildare Solar Park,Maintenance Request,Low,Closed,Aoife Kelly,2024-12-02 00:00:00,2024-12-03 06:11:45,30.2,Within SLA,653.63,55.56,Sensor Replaced,Meath
CASE-00044,WO-00044,ACC-002,Wicklow Solar Park,Meter Reading Issue,Low,In Progress,Niamh Walsh,2025-06-30 00:00:00,,,Within SLA,0.0,0.0,,South
CASE-00045,WO-00045,ACC-015,Meath Wind Farm,Sensor Dropout,Low,In Progress,Ciarán Murphy,2025-01-24 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00046,WO-00046,ACC-018,Kildare Solar Park,Safety Inspection,Low,In Progress,Ciarán Murphy,2024-11-20 00:00:00,,,Breached,709.81,60.33,,South
CASE-00047,WO-00047,ACC-004,Wicklow Solar Park,Grid Curtailment Complaint,High,Closed,Niamh Walsh,2025-05-14 00:00:00,2025-05-14 16:22:41,16.38,Breached,0.0,0.0,Panel Cleaned,Meath
CASE-00048,WO-00048,ACC-013,Wicklow Solar Park,Turbine Fault,High,Closed,Aoife Kelly,2024-02-06 00:00:00,2024-02-06 12:13:20,12.22,Breached,0.0,0.0,Sensor Replaced,South
CASE-00049,WO-00049,ACC-003,Kildare Solar Park,Safety Inspection,Medium,Closed,Sinéad Byrne,2024-03-11 00:00:00,2024-03-12 13:33:28,37.56,Breached,0.0,0.0,Sensor Replaced,Wicklow
CASE-00050,WO-00050,ACC-018,Fingal Wind Farm,Meter Reading Issue,High,In Progress,Seán O'Brien,2024-08-28 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00051,WO-00051,ACC-010,Wicklow Solar Park,Safety Inspection,Medium,In Progress,Ciarán Murphy,2024-10-21 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00052,WO-00052,ACC-020,Wicklow Solar Park,Panel Soiling,High,Open,Ciarán Murphy,2024-08-20 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00053,WO-00053,ACC-012,South Dublin Wind Site,Meter Reading Issue,Medium,In Progress,Niamh Walsh,2024-04-02 00:00:00,,,Breached,722.6,61.42,,South
CASE-00054,WO-00054,ACC-019,Meath Wind Farm,Meter Reading Issue,High,Closed,Seán O'Brien,2025-03-20 00:00:00,2025-03-20 06:24:23,6.41,Within SLA,0.0,0.0,Sensor Replaced,Fingal
CASE-00055,WO-00055,ACC-007,Fingal Wind Farm,Safety Inspection,Medium,Closed,Ciarán Murphy,2024-04-10 00:00:00,2024-04-10 20:51:23,20.86,Within SLA,0.0,0.0,Meter Recalibrated,Kildare
CASE-00056,WO-00056,ACC-003,Wicklow Solar Park,Grid Curtailment Complaint,Low,Open,Sinéad Byrne,2024-04-12 00:00:00,,,Breached,508.91,43.26,,Kildare
CASE-00057,WO-00057,ACC-002,Fingal Wind Farm,Inverter Failure,Medium,Open,Sinéad Byrne,2025-03-30 00:00:00,,,Breached,0.15,0.01,,Fingal
CASE-00058,WO-00058,ACC-008,Wicklow Solar Park,Turbine Fault,High,Escalated,Ciarán Murphy,2024-06-19 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00059,WO-00059,ACC-010,Kildare Solar Park,Meter Reading Issue,Medium,In Progress,Aoife Kelly,2024-11-02 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00060,WO-00060,ACC-003,Meath Wind Farm,Panel Soiling,Medium,Escalated,Seán O'Brien,2024-01-30 00:00:00,,,Breached,117.38,9.98,,Kildare
CASE-00061,WO-00061,ACC-008,Kildare Solar Park,Turbine Fault,High,Closed,Declan Ryan,2024-02-17 00:00:00,2024-02-17 09:13:45,9.23,Breached,119.37,10.15,Grid Reconnected,Meath
CASE-00062,WO-00062,ACC-004,South Dublin Wind Site,Turbine Fault,Medium,In Progress,Seán O'Brien,2024-11-28 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00063,WO-00063,ACC-013,Wicklow Solar Park,Safety Inspection,Medium,In Progress,Niamh Walsh,2024-02-27 00:00:00,,,Breached,425.0,36.12,,South
CASE-00064,WO-00064,ACC-009,Fingal Wind Farm,Sensor Dropout,Medium,In Progress,Sinéad Byrne,2024-10-27 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00065,WO-00065,ACC-015,Wicklow Solar Park,Sensor Dropout,Critical,Open,Niamh Walsh,2025-01-02 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00066,WO-00066,ACC-012,South Dublin Wind Site,Inverter Failure,Medium,Open,Niamh Walsh,2025-01-18 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00067,WO-00067,ACC-006,Fingal Wind Farm,Safety Inspection,Medium,Closed,Declan Ryan,2025-03-17 00:00:00,2025-03-18 16:28:31,40.48,Breached,0.0,0.0,Inverter Repaired,Meath
CASE-00068,WO-00068,ACC-012,Wicklow Solar Park,Maintenance Request,High,Closed,Aoife Kelly,2024-05-29 00:00:00,2024-05-29 10:01:16,10.02,Breached,0.0,0.0,Pending Investigation,Fingal
CASE-00069,WO-00069,ACC-012,Meath Wind Farm,Turbine Fault,Low,Closed,Ciarán Murphy,2024-09-07 00:00:00,2024-09-08 00:16:31,24.28,Within SLA,0.0,0.0,Inverter Repaired,South
CASE-00070,WO-00070,ACC-007,Fingal Wind Farm,Maintenance Request,Critical,Open,Ciarán Murphy,2025-06-27 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00071,WO-00071,ACC-009,South Dublin Wind Site,Inverter Failure,Medium,Closed,Ciarán Murphy,2025-02-25 00:00:00,2025-02-26 18:45:00,42.75,Breached,0.0,0.0,Firmware Updated,South
CASE-00072,WO-00072,ACC-003,Wicklow Solar Park,Maintenance Request,Low,In Progress,Seán O'Brien,2024-07-03 00:00:00,,,Breached,0.0,0.0,,South
CASE-00073,WO-00073,ACC-020,Meath Wind Farm,Panel Soiling,Medium,Open,Declan Ryan,2024-06-23 00:00:00,,,Breached,311.99,26.52,,Fingal
CASE-00074,WO-00074,ACC-006,Kildare Solar Park,Maintenance Request,Low,In Progress,Niamh Walsh,2024-06-28 00:00:00,,,Breached,462.35,39.3,,Kildare
CASE-00075,WO-00075,ACC-018,Fingal Wind Farm,Meter Reading Issue,Low,In Progress,Sinéad Byrne,2024-03-21 00:00:00,,,Breached,0.0,0.0,,South
CASE-00076,WO-00076,ACC-008,Wicklow Solar Park,Turbine Fault,Medium,Escalated,Sinéad Byrne,2025-01-26 00:00:00,,,Breached,0.0,0.0,,South
CASE-00077,WO-00077,ACC-006,Kildare Solar Park,Sensor Dropout,High,Closed,Seán O'Brien,2024-09-03 00:00:00,2024-09-03 11:48:47,11.81,Breached,0.0,0.0,Scheduled Maintenance Done,Kildare
CASE-00078,WO-00078,ACC-015,Wicklow Solar Park,Sensor Dropout,Low,In Progress,Niamh Walsh,2025-05-24 00:00:00,,,Breached,156.53,13.31,,Wicklow
CASE-00079,WO-00079,ACC-013,Kildare Solar Park,Maintenance Request,High,Closed,Declan Ryan,2024-05-26 00:00:00,2024-05-26 13:41:20,13.69,Breached,0.0,0.0,Panel Cleaned,Meath
CASE-00080,WO-00080,ACC-009,Fingal Wind Farm,Panel Soiling,Medium,Open,Aoife Kelly,2024-08-25 00:00:00,,,Breached,545.21,46.34,,Kildare
CASE-00081,WO-00081,ACC-018,Wicklow Solar Park,Meter Reading Issue,Low,In Progress,Sinéad Byrne,2025-04-17 00:00:00,,,Breached,253.28,21.53,,South
CASE-00082,WO-00082,ACC-008,South Dublin Wind Site,Inverter Failure,Critical,Escalated,Seán O'Brien,2024-09-17 00:00:00,,,Breached,456.22,38.78,,Wicklow
CASE-00083,WO-00083,ACC-011,Kildare Solar Park,Meter Reading Issue,Medium,Closed,Declan Ryan,2025-04-15 00:00:00,2025-04-16 15:50:55,39.85,Breached,0.0,0.0,Inverter Repaired,Wicklow
CASE-00084,WO-00084,ACC-002,Kildare Solar Park,Maintenance Request,Medium,In Progress,Declan Ryan,2024-09-18 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00085,WO-00085,ACC-008,Meath Wind Farm,Grid Curtailment Complaint,Medium,Escalated,Aoife Kelly,2024-01-10 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00086,WO-00086,ACC-002,Meath Wind Farm,Sensor Dropout,Low,Closed,Niamh Walsh,2025-04-21 00:00:00,2025-04-26 21:20:38,141.34,Breached,0.0,0.0,Pending Investigation,Kildare
CASE-00087,WO-00087,ACC-011,South Dublin Wind Site,Safety Inspection,Low,Open,Declan Ryan,2024-10-21 00:00:00,,,Breached,0.0,0.0,,South
CASE-00088,WO-00088,ACC-013,Fingal Wind Farm,Sensor Dropout,High,Open,Aoife Kelly,2024-06-10 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00089,WO-00089,ACC-009,South Dublin Wind Site,Grid Curtailment Complaint,Low,Closed,Aoife Kelly,2024-03-16 00:00:00,2024-03-20 18:21:37,114.36,Breached,0.0,0.0,Meter Recalibrated,South
CASE-00090,WO-00090,ACC-003,Meath Wind Farm,Sensor Dropout,High,Closed,Sinéad Byrne,2025-03-28 00:00:00,2025-03-28 14:44:07,14.74,Breached,0.0,0.0,Meter Recalibrated,Kildare
CASE-00091,WO-00091,ACC-007,Kildare Solar Park,Maintenance Request,Low,Open,Declan Ryan,2024-12-19 00:00:00,,,Breached,730.56,62.1,,Fingal
CASE-00092,WO-00092,ACC-019,Fingal Wind Farm,Maintenance Request,Low,Closed,Seán O'Brien,2024-11-02 00:00:00,2024-11-03 09:05:53,33.1,Within SLA,0.0,0.0,Inverter Repaired,Kildare
CASE-00093,WO-00093,ACC-011,Wicklow Solar Park,Grid Curtailment Complaint,Medium,In Progress,Sinéad Byrne,2025-03-10 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00094,WO-00094,ACC-007,Wicklow Solar Park,Sensor Dropout,Medium,Closed,Aoife Kelly,2024-09-13 00:00:00,2024-09-15 08:12:03,56.2,Breached,243.64,20.71,Firmware Updated,Kildare
CASE-00095,WO-00095,ACC-016,South Dublin Wind Site,Sensor Dropout,Low,Closed,Niamh Walsh,2025-04-12 00:00:00,2025-04-13 14:24:42,38.41,Within SLA,754.67,64.15,Firmware Updated,Meath
CASE-00096,WO-00096,ACC-013,Kildare Solar Park,Turbine Fault,Low,Closed,Seán O'Brien,2024-11-05 00:00:00,2024-11-11 02:14:37,146.24,Breached,0.0,0.0,Sensor Replaced,Fingal
CASE-00097,WO-00097,ACC-015,Fingal Wind Farm,Panel Soiling,Low,In Progress,Sinéad Byrne,2024-07-22 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00098,WO-00098,ACC-005,Wicklow Solar Park,Sensor Dropout,Low,Closed,Aoife Kelly,2025-01-28 00:00:00,2025-01-30 21:20:02,69.33,Within SLA,0.0,0.0,,Wicklow
CASE-00099,WO-00099,ACC-009,Fingal Wind Farm,Inverter Failure,Critical,Open,Sinéad Byrne,2025-05-09 00:00:00,,,Breached,0.0,0.0,,South
CASE-00100,WO-00100,ACC-005,Fingal Wind Farm,Meter Reading Issue,Medium,Open,Aoife Kelly,2024-04-19 00:00:00,,,Breached,347.78,29.56,,Meath
CASE-00101,WO-00101,ACC-008,South Dublin Wind Site,Inverter Failure,High,Closed,Niamh Walsh,2024-08-30 00:00:00,2024-08-30 03:55:20,3.92,Within SLA,786.06,66.82,Panel Cleaned,Fingal
CASE-00102,WO-00102,ACC-018,Meath Wind Farm,Sensor Dropout,Low,In Progress,Aoife Kelly,2025-01-25 00:00:00,,,Breached,275.41,23.41,,Wicklow
CASE-00103,WO-00103,ACC-018,Fingal Wind Farm,Meter Reading Issue,High,Open,Sinéad Byrne,2025-01-02 00:00:00,,,Breached,71.43,6.07,,South
CASE-00104,WO-00104,ACC-009,Kildare Solar Park,Grid Curtailment Complaint,Low,Closed,Declan Ryan,2024-10-29 00:00:00,2024-11-03 22:49:09,142.82,Breached,0.0,0.0,Meter Recalibrated,South
CASE-00105,WO-00105,ACC-019,South Dublin Wind Site,Panel Soiling,Medium,Closed,Declan Ryan,2024-10-29 00:00:00,2024-10-30 06:18:33,30.31,Breached,6.5,0.55,Meter Recalibrated,Wicklow
CASE-00106,WO-00106,ACC-014,Wicklow Solar Park,Sensor Dropout,Medium,In Progress,Aoife Kelly,2024-01-23 00:00:00,,,Breached,789.14,67.08,,Fingal
CASE-00107,WO-00107,ACC-019,Wicklow Solar Park,Safety Inspection,Low,Open,Seán O'Brien,2025-02-09 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00108,WO-00108,ACC-013,Wicklow Solar Park,Sensor Dropout,Low,Escalated,Sinéad Byrne,2024-10-08 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00109,WO-00109,ACC-012,Wicklow Solar Park,Inverter Failure,Medium,Open,Niamh Walsh,2024-01-09 00:00:00,,,Breached,323.36,27.49,,South
CASE-00110,WO-00110,ACC-008,Fingal Wind Farm,Inverter Failure,High,Closed,Sinéad Byrne,2024-02-20 00:00:00,2024-02-20 09:21:14,9.35,Breached,0.0,0.0,Meter Recalibrated,Meath
CASE-00111,WO-00111,ACC-005,South Dublin Wind Site,Safety Inspection,High,Closed,Ciarán Murphy,2025-05-23 00:00:00,2025-05-23 14:01:43,14.03,Breached,102.04,8.67,,Wicklow
CASE-00112,WO-00112,ACC-017,South Dublin Wind Site,Maintenance Request,High,In Progress,Ciarán Murphy,2024-10-20 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00113,WO-00113,ACC-016,Fingal Wind Farm,Grid Curtailment Complaint,Medium,Open,Declan Ryan,2024-08-23 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00114,WO-00114,ACC-003,South Dublin Wind Site,Panel Soiling,High,Closed,Aoife Kelly,2024-12-26 00:00:00,2024-12-26 10:44:31,10.74,Breached,0.0,0.0,Meter Recalibrated,Fingal
CASE-00115,WO-00115,ACC-002,Meath Wind Farm,Turbine Fault,High,Open,Seán O'Brien,2024-08-12 00:00:00,,,Breached,235.35,20.0,,Fingal
CASE-00116,WO-00116,ACC-004,South Dublin Wind Site,Turbine Fault,Medium,In Progress,Aoife Kelly,2024-07-13 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00117,WO-00117,ACC-005,Meath Wind Farm,Turbine Fault,Low,Open,Niamh Walsh,2024-09-13 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00118,WO-00118,ACC-006,South Dublin Wind Site,Turbine Fault,Medium,In Progress,Seán O'Brien,2024-05-20 00:00:00,,,Breached,295.38,25.11,,Kildare
CASE-00119,WO-00119,ACC-014,Kildare Solar Park,Sensor Dropout,Low,Closed,Ciarán Murphy,2024-04-09 00:00:00,2024-04-13 10:06:04,106.1,Breached,0.0,0.0,Grid Reconnected,Fingal
CASE-00120,WO-00120,ACC-020,Wicklow Solar Park,Turbine Fault,High,Open,Declan Ryan,2024-02-10 00:00:00,,,Breached,439.11,37.32,,Wicklow
CASE-00121,WO-00121,ACC-003,Wicklow Solar Park,Meter Reading Issue,Low,Closed,Declan Ryan,2024-11-12 00:00:00,2024-11-13 19:12:10,43.2,Within SLA,0.0,0.0,Inverter Repaired,Kildare
CASE-00122,WO-00122,ACC-013,Kildare Solar Park,Grid Curtailment Complaint,Low,In Progress,Seán O'Brien,2025-03-27 00:00:00,,,Breached,0.0,0.0,,South
CASE-00123,WO-00123,ACC-013,Kildare Solar Park,Panel Soiling,Low,In Progress,Declan Ryan,2024-02-04 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00124,WO-00124,ACC-020,Meath Wind Farm,Panel Soiling,Medium,In Progress,Sinéad Byrne,2025-01-08 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00125,WO-00125,ACC-015,South Dublin Wind Site,Turbine Fault,Critical,Closed,Seán O'Brien,2024-05-14 00:00:00,2024-05-14 04:38:26,4.64,Breached,0.0,0.0,Grid Reconnected,Meath
CASE-00126,WO-00126,ACC-017,Meath Wind Farm,Grid Curtailment Complaint,Medium,Open,Ciarán Murphy,2024-04-02 00:00:00,,,Breached,42.5,3.61,,Fingal
CASE-00127,WO-00127,ACC-009,Fingal Wind Farm,Turbine Fault,High,In Progress,Ciarán Murphy,2024-10-29 00:00:00,,,Breached,0.0,0.0,,South
CASE-00128,WO-00128,ACC-018,Meath Wind Farm,Meter Reading Issue,High,Open,Sinéad Byrne,2024-11-30 00:00:00,,,Breached,0.0,0.0,,South
CASE-00129,WO-00129,ACC-001,Fingal Wind Farm,Inverter Failure,High,Open,Aoife Kelly,2025-03-01 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00130,WO-00130,ACC-004,South Dublin Wind Site,Inverter Failure,High,Closed,Declan Ryan,2024-06-28 00:00:00,2024-06-28 16:26:08,16.44,Breached,0.0,0.0,Scheduled Maintenance Done,Kildare
CASE-00131,WO-00131,ACC-018,Fingal Wind Farm,Sensor Dropout,High,Escalated,Seán O'Brien,2024-07-24 00:00:00,,,Breached,562.68,47.83,,Wicklow
CASE-00132,WO-00132,ACC-009,Meath Wind Farm,Turbine Fault,High,Closed,Ciarán Murphy,2024-05-15 00:00:00,2024-05-15 12:00:17,12.0,Breached,656.6,55.81,Firmware Updated,Fingal
CASE-00133,WO-00133,ACC-011,Wicklow Solar Park,Safety Inspection,Low,Closed,Niamh Walsh,2025-01-09 00:00:00,2025-01-16 05:41:06,173.69,Breached,0.0,0.0,Firmware Updated,Fingal
CASE-00134,WO-00134,ACC-004,Fingal Wind Farm,Panel Soiling,Low,Closed,Aoife Kelly,2025-06-27 00:00:00,2025-06-28 20:25:17,44.42,Within SLA,0.0,0.0,Panel Cleaned,Meath
CASE-00135,WO-00135,ACC-010,Meath Wind Farm,Grid Curtailment Complaint,High,Closed,Sinéad Byrne,2025-05-28 00:00:00,2025-05-28 14:19:13,14.32,Breached,287.4,24.43,Firmware Updated,Kildare
CASE-00136,WO-00136,ACC-014,Meath Wind Farm,Sensor Dropout,Medium,Closed,Ciarán Murphy,2024-10-06 00:00:00,2024-10-08 07:28:05,55.47,Breached,689.0,58.57,Sensor Replaced,Wicklow
CASE-00137,WO-00137,ACC-006,Wicklow Solar Park,Meter Reading Issue,Critical,In Progress,Declan Ryan,2024-06-17 00:00:00,,,Breached,0.0,0.0,,South
CASE-00138,WO-00138,ACC-015,South Dublin Wind Site,Grid Curtailment Complaint,Medium,Escalated,Sinéad Byrne,2024-09-20 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00139,WO-00139,ACC-001,Meath Wind Farm,Panel Soiling,Medium,Escalated,Aoife Kelly,2025-05-08 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00140,WO-00140,ACC-009,Kildare Solar Park,Safety Inspection,Critical,Closed,Ciarán Murphy,2024-10-29 00:00:00,2024-10-29 08:11:46,8.2,Breached,692.54,58.87,Grid Reconnected,Kildare
CASE-00141,WO-00141,ACC-017,Meath Wind Farm,Maintenance Request,High,Escalated,Ciarán Murphy,2024-12-12 00:00:00,,,Breached,0.0,0.0,,South
CASE-00142,WO-00142,ACC-006,Fingal Wind Farm,Inverter Failure,High,In Progress,Aoife Kelly,2024-04-27 00:00:00,,,Breached,0.0,0.0,,Fingal
